File Name,Path,Instrument Method,Position,Inj Vol,Comment,Sample Name
20240424_UWPRLumos_TPcorals_blank5,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_5_80%B_30min_OTMS2_75min_Blank.method_MM,F8,3,blank,
20240424_UWPRLumos_TPcorals_coral22,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,B8,4,27,
20240424_UWPRLumos_TPcorals_coral23,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,C1,4,31,
20240424_UWPRLumos_TPcorals_coral24,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,C2,4,22,
20240424_UWPRLumos_TPcorals_coral25,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,C3,4,ctrl D,
20240424_UWPRLumos_TPcorals_QC7,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_PRTC_UWPRLumos_30min_30cmDrM_DIA_fullms,A1,3,QC1,
20240424_UWPRLumos_TPcorals_blank6,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_5_80%B_30min_OTMS2_75min_Blank.method_MM,F8,3,blank,
20240424_UWPRLumos_TPcorals_coral26,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,C4,4,12,
20240424_UWPRLumos_TPcorals_coral27,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,C5,4,34,
20240424_UWPRLumos_TPcorals_coral28,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,C6,4,10,
20240424_UWPRLumos_TPcorals_coral29,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,C7,4,13,
20240424_UWPRLumos_TPcorals_blank7,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_5_80%B_30min_OTMS2_75min_Blank.method_MM,F8,3,blank,
20240424_UWPRLumos_TPcorals_coral30,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,C8,4,15,
20240424_UWPRLumos_TPcorals_coral31,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,D1,4,ctrl B,
20240424_UWPRLumos_TPcorals_coral32,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,D2,4,36,
20240424_UWPRLumos_TPcorals_coral33,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,D3,4,26,
20240424_UWPRLumos_TPcorals_QC8,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_PRTC_UWPRLumos_30min_30cmDrM_DIA_fullms,A1,3,QC1,
20240424_UWPRLumos_TPcorals_blank8,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_5_80%B_30min_OTMS2_75min_Blank.method_MM,F8,3,blank,
20240424_UWPRLumos_TPcorals_coral34,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,D4,4,17,
20240424_UWPRLumos_TPcorals_coral35,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,D5,4,23,
20240424_UWPRLumos_TPcorals_coral36,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,D6,4,21,
20240424_UWPRLumos_TPcorals_coral37,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,D7,4,3,
20240424_UWPRLumos_TPcorals_blank9,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_5_80%B_30min_OTMS2_75min_Blank.method_MM,F8,3,blank,
20240424_UWPRLumos_TPcorals_coral38,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,D8,4,ctrl C,
20240424_UWPRLumos_TPcorals_coral39,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,E1,4,35,
20240424_UWPRLumos_TPcorals_coral40,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,E2,4,7,
20240424_UWPRLumos_TPcorals_coral41,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,E3,4,4,
20240424_UWPRLumos_TPcorals_QC9,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_PRTC_UWPRLumos_30min_30cmDrM_DIA_fullms,A1,3,QC1,
20240424_UWPRLumos_TPcorals_blank10,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_5_80%B_30min_OTMS2_75min_Blank.method_MM,F8,3,blank,
20240424_UWPRLumos_TPcorals_coral42,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,E4,4,19,
20240424_UWPRLumos_TPcorals_coral43,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,E5,4,32,
20240424_UWPRLumos_TPcorals_coral44,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,E6,4,5,
20240424_UWPRLumos_TPcorals_coral45,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,E7,4,30,
20240424_UWPRLumos_TPcorals_blank11,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_5_80%B_30min_OTMS2_75min_Blank.method_MM,F8,3,blank,
20240424_UWPRLumos_TPcorals_coral46,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,E8,4,1,
