"Protein_group","L_A_1","L_F_3","L_A_3","H_F_2","H_E_1","H_D_3","L_E_2","H_C_3","H_C_1","L_D_1","L_D_2","L_B_2","H_A_1","H_B_1","L_E_1","H_F_3","L_D_2_2","H_E_2","L_B_3","L_C_1","H_E_3","L_E_2_2","L_C_2","H_F_1","L_C_3","L_A_2","H_B_3","H_B_2","L_F_2","H_D_2","H_D_1","H_A_2","H_C_2","L_B_1","H_A_3","L_F_1"
"Montipora_capitata_HIv3___RNAseq.g35332.t1",613932,NA,848280,562089,729876,662470,794484,680811,637184,957268,NA,837363,NA,371634,743419,679850,447703,773409,1160940,NA,646775,868520,443251,614432,NA,681950,733434,517823,NA,694498,NA,829559,455469,909339,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35343.t1",16683000,34603600,25962600,15100200,25384900,30750900,22368800,21059900,10668900,32130900,32594600,26686200,4059920,11739000,27218400,34083800,45416200,10871200,34683600,7531230,10670100,24985800,11177700,21722700,12760100,20130800,25057200,23591000,9532970,9827140,5879670,20604700,9798600,44582400,28477200,26882700
"Montipora_capitata_HIv3___RNAseq.g35344.t1",1275710,1394180,5168080,14548700,628728,11345700,776411,16908700,20056700,5580180,6014890,976382,NA,NA,NA,9569090,5304910,19868300,11149700,36210500,NA,1129260,19887900,34571700,15099900,3336800,1460360,864855,34240500,14989500,22166500,1732200,NA,1763640,3321480,15236300
"Montipora_capitata_HIv3___RNAseq.g35350.t2",1412960,NA,1458210,1159960,1433590,1124170,658378,1349470,869438,524422,NA,NA,NA,865944,905831,442369,NA,NA,NA,NA,661340,NA,NA,NA,NA,NA,840331,1100050,NA,NA,NA,738000,1052790,625857,925017,544893
"Montipora_capitata_HIv3___RNAseq.g35351.t1",NA,NA,752051,1409730,775883,354047,914897,2009000,NA,NA,NA,602039,NA,NA,1344000,3957460,737092,NA,1112840,NA,NA,1068870,NA,752546,NA,1110880,1180800,773690,NA,NA,NA,1215320,NA,1632610,1111640,NA
"Montipora_capitata_HIv3___RNAseq.g35358.t1",NA,NA,NA,433186,662272,NA,NA,495063,NA,NA,NA,NA,NA,NA,NA,214632,NA,579994,NA,NA,451453,NA,770813,NA,NA,NA,975329,1535550,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35361.t1",352966,NA,130037,504781,575946,378606,208694,564202,469709,NA,NA,615253,503737,879435,NA,566570,381718,564444,NA,NA,727904,419986,859709,629520,NA,239293,1238540,980516,NA,NA,495182,428515,NA,410968,586912,NA
"Montipora_capitata_HIv3___RNAseq.g35363.t1",NA,10526600,5284780,2570070,2556980,1879600,4031090,1750080,NA,2935910,NA,2312190,NA,NA,2828090,2144070,3695540,NA,3203050,NA,NA,4984080,NA,1787160,NA,NA,715729,1699140,NA,NA,NA,897756,NA,6003710,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35374.t1",1071810,503454,538648,720443,477826,680389,943963,741308,638581,805507,531606,1026770,594138,1174570,778038,624207,836566,572567,760510,718223,1014350,640600,685835,990593,NA,946063,1178230,1586870,458724,764608,NA,825920,828849,557898,1279810,611307
"Montipora_capitata_HIv3___RNAseq.g35375.t1",3635890,3581800,3317960,2884130,3249110,2470140,1415040,2301940,1821890,2998890,1185970,2029120,653300,1498450,2106530,3220790,2676590,1576930,1770520,1278830,1905010,2553870,1454570,2320720,1479370,3104600,6042310,2711230,NA,1395550,NA,1652290,1209670,2057950,2355050,2230250
