"Protein_group","L_A_1","L_F_3","L_A_3","H_F_2","H_E_1","H_D_3","L_E_2","H_C_3","H_C_1","L_D_1","L_D_2","L_B_2","H_A_1","H_B_1","L_E_1","H_F_3","L_D_2_2","H_E_2","L_B_3","L_C_1","H_E_3","L_E_2_2","L_C_2","H_F_1","L_C_3","L_A_2","H_B_3","H_B_2","L_F_2","H_D_2","H_D_1","H_A_2","H_C_2","L_B_1","H_A_3","L_F_1"
"Montipora_capitata_HIv3___RNAseq.g29593.t1",1029860,464394,1940220,896462,1639380,596549,819340,620352,1320850,514233,1239860,356680,853870,924170,NA,NA,676996,877049,471749,1075030,1096350,391126,575027,1596480,431855,704997,1373870,1419260,NA,1832340,1100530,1039270,929216,772342,925731,NA
"Montipora_capitata_HIv3___RNAseq.g29603.t1",432905,NA,NA,480153,NA,NA,NA,NA,175902,NA,NA,NA,NA,NA,NA,74449.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75788.8,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g29605.t1",777756,NA,NA,699640,NA,709234,851703,523019,850170,408605,NA,732627,672512,594127,485800,448697,584626,770239,NA,834746,693476,781482,757168,483121,534241,473575,439311,669285,815890,NA,595735,806125,803029,733920,623896,781174
"Montipora_capitata_HIv3___RNAseq.g29615.t1",425634,NA,430503,512254,360769,418905,379137,381862,466353,458872,NA,490398,387846,332122,542668,414910,NA,341281,471866,NA,NA,780554,337763,NA,NA,283982,365504,595009,NA,365596,330501,716301,619433,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g29616.t3",NA,NA,NA,NA,77913.9,104788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g29618.t1",NA,NA,NA,NA,365654,359356,304787,NA,NA,167340,602756,627099,NA,NA,NA,284325,173247,280094,241408,NA,387875,NA,NA,405574,NA,NA,247091,421948,NA,NA,NA,502744,358500,208359,380713,NA
"Montipora_capitata_HIv3___RNAseq.g29636.t1;Montipora_capitata_HIv3___TS.g40855.t1",NA,NA,NA,NA,NA,994508,NA,NA,NA,1512320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g29735.t1",NA,846024,NA,1854140,NA,NA,NA,9350080,NA,NA,NA,NA,NA,2588650,7848340,9355830,NA,4856310,NA,NA,NA,1252320,NA,NA,NA,NA,3543440,NA,NA,NA,NA,NA,NA,1005150,NA,NA
"Montipora_capitata_HIv3___RNAseq.g2974.t1",22311700,281936000,71433400,94619500,17784500,102101000,125001000,54148400,19682800,105569000,41493800,29644200,8950170,14476100,151597000,275966000,169248000,19947700,468189000,8290350,12772600,117736000,4815800,20697200,6253510,118146000,8698930,8019110,11190700,7524990,4868240,68887300,7210770,178874000,15669000,88524200
"Montipora_capitata_HIv3___RNAseq.g2975.t1b",NA,2119880,NA,NA,NA,662964,NA,NA,NA,1002210,NA,NA,NA,NA,NA,6292900,4721250,NA,3285390,NA,NA,579240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1233920,NA,NA
"Montipora_capitata_HIv3___RNAseq.g29752.t2",NA,NA,332810,261499,387303,NA,442431,667911,NA,NA,NA,210586,NA,NA,515589,201453,NA,614971,NA,NA,403203,408707,378880,NA,NA,NA,234222,NA,NA,NA,NA,NA,NA,437493,NA,NA
"Montipora_capitata_HIv3___RNAseq.g2976.t1b",2173500,9998890,2902320,9434660,NA,6630020,10295000,2896380,2150170,7988300,NA,1688460,NA,1398530,10284900,22867500,14620200,912837,24452000,NA,2021060,10619400,NA,NA,NA,6300070,963843,1170190,NA,NA,1475380,5756590,NA,3771210,1329180,3395060
"Montipora_capitata_HIv3___RNAseq.g29796.t1;Montipora_capitata_HIv3___RNAseq.g4555.t1;Montipora_capitata_HIv3___RNAseq.g45619.t1;Montipora_capitata_HIv3___RNAseq.g45799.t1;Montipora_capitata_HIv3___RNAseq.g7848.t1",3014830,2897790,2831750,3433690,3176030,2926870,2285620,3242020,2305790,2847020,1442970,2750930,3335810,3185260,2311450,1761230,2274550,3083850,2202030,2638370,3239020,2929390,2795430,3269350,2978890,2986410,3523970,4894310,2066950,6002190,NA,3504330,3238260,2479850,6406560,2647660
"Montipora_capitata_HIv3___RNAseq.g29846.t1;Montipora_capitata_HIv3___RNAseq.g3946.t1;Montipora_capitata_HIv3___RNAseq.g8333.t1",NA,NA,NA,246927,NA,714023,NA,NA,821562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231161,NA,NA
"Montipora_capitata_HIv3___RNAseq.g29852.t1",NA,1402890,1109240,1504950,1027460,3661430,1978220,1152700,1439780,2044100,1311500,1294120,NA,484598,5215870,1047990,2088280,1137210,NA,NA,NA,1702630,NA,659069,NA,1062400,NA,NA,1883850,NA,NA,2052760,1587550,944387,NA,1765010
"Montipora_capitata_HIv3___RNAseq.g29952.t1",34215800,41897800,21032500,36134300,38122200,34254600,48765900,NA,NA,NA,74944000,77130700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12464500,NA,NA,NA,NA,NA,495355,NA,20561500,NA,NA,NA,1691120,25402600
"Montipora_capitata_HIv3___RNAseq.g29990.t1",NA,1552850,NA,3547830,NA,997215,1171760,1375040,615271,NA,NA,NA,NA,NA,989469,2518980,1135570,NA,2213720,NA,NA,720681,NA,NA,NA,503687,NA,NA,NA,NA,NA,1011030,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g29991.t1",NA,4666130,NA,2639570,NA,1823960,2635610,1385000,1070340,1972440,NA,NA,NA,NA,2746100,3629420,4061620,NA,4604960,NA,NA,1872870,NA,NA,NA,1254220,NA,NA,NA,NA,NA,1323570,NA,1168400,NA,NA
"Montipora_capitata_HIv3___RNAseq.g29996.t1",1784990,7164280,701171,3257390,272892,5239980,4458910,4986550,5227410,2560710,NA,NA,2042750,NA,3238350,11639000,6919900,1387860,9126700,NA,NA,4999500,NA,NA,NA,3297310,406482,NA,NA,NA,1645740,5934080,NA,7313300,1987960,4133040
"Montipora_capitata_HIv3___RNAseq.g30005.t1",NA,716519,NA,NA,452679,505219,NA,264132,NA,NA,NA,387235,244333,NA,NA,251803,549641,NA,NA,NA,NA,NA,221696,NA,325081,NA,NA,NA,NA,NA,NA,NA,278551,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30011.t1",NA,NA,NA,338406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30015.t1b",1711000,975369,1007770,1634830,1218510,2177060,1547070,1490940,2320960,1187320,1727290,1281860,1516390,1567620,1961240,1229640,1328470,1615510,1462800,1618110,2291850,1804120,1719240,1265780,1656780,988749,1134570,1236260,1558570,1720400,1474840,1771390,1762530,885929,1311310,1602530
"Montipora_capitata_HIv3___RNAseq.g30016.t1",991667,NA,NA,NA,577919,867090,NA,789517,1185980,NA,NA,424476,NA,801289,NA,NA,NA,1193210,292875,754149,876237,NA,856152,535014,784139,NA,NA,467781,563938,1094070,1302410,596441,939025,NA,649622,NA
"Montipora_capitata_HIv3___RNAseq.g30017.t1",NA,674715,387089,656260,668035,NA,NA,NA,NA,413108,NA,NA,NA,NA,NA,817795,394386,NA,714572,NA,NA,798331,NA,596811,NA,764759,664561,520577,NA,NA,NA,NA,NA,830520,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30019.t1",5070220,4136290,3729060,6018760,4738690,3830910,6999430,5218530,2427770,3305440,2288170,5045120,3416810,4396970,6900490,3396370,3287150,4984580,6025750,4005810,6239860,6688330,3936000,5655230,4110570,5201870,3465320,4624550,5716680,3331600,1750140,5632000,5039510,3879020,4788120,5092980
"Montipora_capitata_HIv3___RNAseq.g30024.t1",878835,537251,NA,444972,NA,772436,NA,NA,NA,NA,NA,NA,NA,632616,NA,206250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302966,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30026.t1",6649560,9287930,4975340,6525350,4365190,4804160,9839460,6854120,4085120,3142320,2178400,7508150,4739430,6893370,10541000,3343780,2472240,6885450,6710060,6240570,9781380,12601000,8573960,5674490,7196680,6607890,3878240,4510120,8620590,3694430,2963580,6754820,6199890,5525520,4132230,8628790
"Montipora_capitata_HIv3___RNAseq.g30028.t1",50675300,19477200,34100000,43751400,38305700,58150000,58069300,65603100,66059200,31945000,26122700,46983000,65231100,74716600,40362000,20306500,15403000,74785600,41086900,70387000,67088300,50680700,57625300,41363500,67397800,36804400,15959500,32830700,64362700,76208600,74530500,60552900,70760400,24954900,39631200,58174800
"Montipora_capitata_HIv3___RNAseq.g30040.t1",1512860,892142,1080360,2166520,841199,1522550,2079130,1315330,1817520,1319220,NA,1185110,2172310,1677510,1235970,347903,762236,NA,NA,2066370,1506590,1761860,NA,NA,1293670,907125,842012,1317960,1701070,1449830,1184060,1321980,1645690,481412,NA,1371120
"Montipora_capitata_HIv3___RNAseq.g30046.t1",692126,599736,365270,599078,355145,627607,343959,564114,740473,765914,439744,564835,416596,755728,474100,724138,599145,549424,430747,526653,576774,582208,562716,460411,283631,363868,621649,562316,382217,380751,1006110,552814,577618,666069,756330,484007
"Montipora_capitata_HIv3___RNAseq.g30063.t1",NA,796603,681397,641047,1179010,1060940,1198660,640459,NA,1176930,NA,1308820,NA,NA,991669,1403210,1381830,NA,845966,NA,NA,1120340,NA,870596,NA,967535,1113400,1061320,NA,NA,NA,1116140,NA,1488960,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30064.t1",1981800,206714,434180,837045,564076,667850,988108,658441,2064990,NA,NA,NA,1085180,850684,NA,NA,NA,1016710,NA,2180190,1252900,769412,1742870,NA,835538,NA,681177,732043,1005850,NA,2046220,NA,1227580,NA,NA,1042140
"Montipora_capitata_HIv3___RNAseq.g30065.t1",659069,NA,660425,836585,840575,582624,368799,NA,681924,676823,NA,1279500,NA,1192450,NA,NA,NA,494515,NA,NA,480152,NA,921353,NA,NA,NA,1202450,NA,NA,1299280,964374,NA,NA,549152,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30067.t1",5213400,1790700,2241200,4298620,6128240,2743740,1896510,3457160,5480880,2509400,5723520,1383910,NA,1209600,NA,4969260,4267580,1168430,1449260,NA,NA,727268,1217090,1613550,NA,1605490,3301680,3803880,NA,2393700,1553840,1475850,1722930,2726420,2435460,NA
"Montipora_capitata_HIv3___RNAseq.g30070.t1",NA,NA,NA,NA,730009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931250,992914,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168880,NA,NA,NA,NA,NA,NA,1608270,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30072.t1",NA,380055,NA,497618,673111,569548,491730,530414,368225,510792,954539,872625,NA,NA,612552,733584,NA,NA,852009,NA,388960,450087,NA,908713,NA,572554,NA,792934,NA,681724,NA,NA,451437,821583,1051070,NA
"Montipora_capitata_HIv3___RNAseq.g30074.t1",NA,191919,499597,716044,337316,352305,NA,NA,NA,NA,NA,NA,NA,474974,NA,276287,150438,NA,NA,NA,222662,378678,NA,481186,NA,NA,281342,206831,NA,NA,NA,NA,NA,177309,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30079.t1",NA,2356780,NA,2391570,3321770,2903220,1628570,4959390,NA,1640700,NA,NA,NA,1180940,NA,2798660,2463360,1458240,4212970,NA,2183950,2933900,NA,2180050,NA,1191650,1237660,2007880,NA,NA,NA,1719090,NA,4566930,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30083.t1",3511340,5478670,3497780,4430890,3697310,3073990,2726750,3439410,2126490,3290840,2383120,3122160,1780600,3168690,2969210,3180690,4079230,1600730,2810350,1800630,2351510,3016240,1509840,3839690,1574150,4694580,4370320,3525280,2401000,2201690,2307670,2940780,1345420,2815490,5934590,2410910
"Montipora_capitata_HIv3___RNAseq.g30085.t1",959125,407230,433786,803846,518452,1149110,887608,725221,1208400,492317,420830,1230250,1017250,838809,958220,582401,530618,1244080,447302,1139960,1029160,812182,1414470,1086400,1079850,481022,616941,700344,1403530,700790,1150060,915601,863198,507947,632251,1237720
"Montipora_capitata_HIv3___RNAseq.g30086.t1",3132410,3115510,3155070,3086740,4138700,3444220,2199030,3516120,2193960,2800000,3697480,2829080,1004810,2618760,2645890,3350600,3812040,2723090,3020980,1529120,2689710,3044650,2350450,3395090,2387060,3226340,5313010,4658110,1053770,2392220,1546640,3712450,2221820,3858190,4796700,3132750
"Montipora_capitata_HIv3___RNAseq.g30088.t1",967440,1264600,1103280,859584,NA,1228210,690357,NA,1042910,1321610,1807550,NA,NA,894610,NA,922916,978148,NA,1287340,NA,866650,974789,650704,1097250,NA,595979,NA,579604,NA,NA,NA,NA,NA,962873,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30089.t1",13052800,5498640,6334930,10493900,7076750,12695500,12444100,9812280,9804580,5744190,9379000,9250560,10120100,11362600,9107420,4957960,4669050,12103300,6988540,10635900,10015900,8061640,10945600,10332500,11555400,6481460,4501970,7727420,11379900,8193800,12161600,10740500,11342300,4328400,8465790,11732000
"Montipora_capitata_HIv3___RNAseq.g30093.t1",17887400,14368900,22460700,14543800,27833200,21150500,21834800,18135400,8873470,24991400,19356400,17596600,13089400,12637200,22846600,36872300,36289700,15145800,28761700,10948500,13415400,22151100,16005700,21827900,24032000,23170500,23663600,19348300,21729700,15747700,22178800,22728900,17248500,35593700,19679700,23892400
"Montipora_capitata_HIv3___RNAseq.g30095.t1",2839270,2255550,3187040,2763420,4601500,4259030,3034010,4224710,2960780,3777190,3696820,2884300,2074090,2571840,2842050,4251020,3306690,3067900,3275080,1927440,3479650,4082360,3064140,3375930,3092340,2554670,3245110,4028870,2346230,4120800,2664790,3125170,2640300,2821460,5368110,3700570
"Montipora_capitata_HIv3___RNAseq.g30097.t1",3723900,2084230,3233250,3711070,2762490,3974000,4547090,5049670,3991020,3538660,3046050,3746370,5059070,6325600,3404570,1424120,1758120,4438090,2632060,3674700,5149970,3536100,3694030,3720820,4803810,3408980,3489560,4726490,3859950,7604520,4892860,3879120,4989820,2327270,2968600,4494550
"Montipora_capitata_HIv3___RNAseq.g30106.t1a",6365090,9109320,4844250,6406990,1751000,8648080,7848760,3835990,4823710,7252190,6110750,10749000,4499990,5481930,6154350,2631570,6082830,2523390,7439790,3450920,2840650,6614130,3919900,2425000,4969020,7204420,5936440,9821140,4914330,5445940,5221160,6493760,2638250,5803950,4692090,6537530
"Montipora_capitata_HIv3___RNAseq.g30145.t1",NA,NA,NA,NA,377234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608464,362127,NA,NA,NA,NA,NA,NA,NA,NA,NA,539558,236537,NA,NA,NA,NA,NA,744552,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30148.t1",850641,NA,407115,868734,439635,NA,564794,927348,NA,629854,NA,NA,785176,NA,708184,NA,405539,847269,NA,631343,NA,NA,666322,572189,982757,NA,404604,NA,431656,889358,NA,676334,972422,NA,718927,565169
"Montipora_capitata_HIv3___RNAseq.g30152.t1",7350630,7688050,7491840,7542650,5953510,7972650,7596720,6672730,4938970,8518490,6096430,7542570,6714820,5922100,8115190,5368330,9369660,5630900,7041330,7305260,7127180,8272280,6133820,6909790,6457400,7561110,5645350,6727310,9421890,5951800,4093850,7273360,6200600,6180090,7265980,5713000
"Montipora_capitata_HIv3___RNAseq.g30153.t1",6178540,2258470,3168050,5049860,2970890,6764140,8269430,4271500,7402400,4519080,3516590,4800660,7480840,6504470,5056030,2944070,2693950,3578140,3698540,8126540,5657690,5863250,4968510,5059150,5794590,4535280,2746590,4550490,6392670,9015460,3500780,6073830,6044740,3368840,4291970,3902270
"Montipora_capitata_HIv3___RNAseq.g30163.t1",9154720,5004060,NA,9428650,640707,5615840,9814680,4213440,5700870,2011660,2535970,6705390,9161790,8844180,8874720,9139560,4165780,3201900,9852490,4757070,4737190,6700990,5927040,1220870,6262750,3534140,5375940,9302300,5162240,6456290,5569200,4878250,4306160,1364650,5757380,10617900
"Montipora_capitata_HIv3___RNAseq.g30165.t1",322554,NA,NA,1261130,705459,867477,738455,NA,NA,679716,NA,934503,NA,866660,793361,904735,774200,NA,923759,NA,NA,754566,NA,769310,NA,715964,799681,695181,534908,NA,NA,NA,217566,922675,880803,689148
"Montipora_capitata_HIv3___RNAseq.g30166.t1",2644410,1329080,2576810,4695160,1872230,1393350,2496620,3581390,1958090,1973260,1061310,3867550,3541480,4471860,3174110,904222,474358,2906600,1194020,2485750,3882790,2180130,3781870,3062810,3147630,3849780,2523540,3017720,5011400,1961980,1230210,2119250,3142650,938290,4180290,3442300
"Montipora_capitata_HIv3___RNAseq.g30168.t1",2321900,1006180,1455080,1957190,2177130,2436980,1778630,2603770,3984160,1483250,1280400,1874280,3540190,2949150,1442290,1253000,1382310,3515320,1146280,2437700,2629370,1031290,3340870,2254840,2878960,1231670,1147460,2066990,1462270,3502020,3055880,2568000,3248870,513213,1626180,1366080
"Montipora_capitata_HIv3___RNAseq.g30181.t1",NA,NA,NA,NA,NA,NA,NA,965656,2406580,NA,NA,NA,NA,1445630,NA,NA,NA,1357720,NA,NA,1430690,NA,NA,NA,NA,NA,706775,1439800,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30183.t1",14930700,25440600,21894200,24441100,12563000,18905500,23736500,19049700,8794920,30013300,15466600,13074700,7058050,11062400,23644000,18079800,20357200,12562900,30789000,10919000,11803600,24659800,8042540,19237300,10988500,22387700,15224200,16384000,12661600,11199700,7298470,18485700,11002700,20412600,12594300,19325300
"Montipora_capitata_HIv3___RNAseq.g30185.t1",3703500,4114770,3785820,4407160,3447620,7945620,7060790,4813820,4850470,5057690,3971790,6206260,4782320,4837450,7595400,2837640,3723880,6597250,5797460,4580770,5986730,6059670,5480470,5040750,6730100,4198640,3500290,4299530,5824550,5005890,5418290,4704530,4371430,2855730,2925310,6403890
"Montipora_capitata_HIv3___RNAseq.g30202.t1",NA,NA,NA,365692,350014,NA,NA,174888,NA,290828,NA,NA,NA,NA,NA,NA,168803,NA,NA,NA,NA,170981,NA,160496,NA,296972,NA,205820,NA,NA,NA,240672,NA,137114,217491,NA
"Montipora_capitata_HIv3___RNAseq.g30215.t1",NA,NA,205222,NA,NA,NA,NA,NA,NA,220877,NA,NA,NA,114058,NA,104618,NA,NA,NA,NA,NA,113714,NA,NA,NA,207401,194437,138806,NA,NA,NA,NA,NA,187836,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30222.t1",18452500,8432630,28987100,17500800,21260600,9261960,14146200,13395600,10008200,11537800,13828500,9372490,8508060,8004300,13306300,18522900,12858100,10356900,13898900,5357000,7685270,12723500,4131020,21629100,6644510,32887600,11287600,4485200,4222840,4603980,2297220,15517500,8682780,22881600,25492500,5761340
"Montipora_capitata_HIv3___RNAseq.g30224.t1",883236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,773085,532944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623567,NA,NA,790194,NA,NA,NA,494568,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30227.t1",730573,919637,920989,571882,956086,NA,NA,NA,NA,558944,1000060,NA,NA,NA,NA,396580,926355,NA,NA,NA,NA,582195,NA,623307,NA,1019530,1026350,678193,NA,NA,NA,498696,NA,825117,881361,NA
"Montipora_capitata_HIv3___RNAseq.g30228.t1",NA,NA,847535,760415,1356570,1331540,1385900,NA,NA,1820990,1108520,736499,NA,525145,544028,1092330,1846900,NA,999936,NA,NA,1243960,NA,617337,NA,NA,1533170,1519790,NA,NA,NA,905660,NA,1459830,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30231.t1",259123000,385925000,356972000,570381000,455341000,509938000,434188000,373325000,312164000,517556000,401525000,301797000,216781000,332175000,420627000,523648000,542660000,315355000,441886000,205386000,311148000,447298000,203420000,395448000,224509000,377866000,390529000,429828000,189020000,330575000,281150000,429590000,281961000,469327000,375279000,305951000
"Montipora_capitata_HIv3___RNAseq.g30233.t1a",1873600,NA,1550580,3400090,1806360,2475530,2727970,3167920,2722640,2346950,NA,NA,NA,NA,2530180,1769710,1209960,3291160,2035070,2698830,2992180,2777190,2676680,2682950,3823130,NA,NA,943086,2812340,3107550,1923470,2055800,2894030,565464,NA,1823150
"Montipora_capitata_HIv3___RNAseq.g30235.t1",1386800,NA,1179820,NA,1430910,13846600,2219480,578039,6487140,6667410,10824400,1552520,1773180,1221200,524144,NA,9862420,NA,NA,NA,2337230,1352940,NA,NA,1228900,NA,901310,1462010,NA,6343210,2439990,964803,1894090,1322270,1872250,NA
"Montipora_capitata_HIv3___RNAseq.g30245.t1",7485110,3810140,4728450,6716490,4217710,5319670,6005400,6576130,6473440,4125880,2374150,6116640,8727380,8650080,5460000,3989590,3406510,8605330,4250160,8564160,7861260,5952720,9541930,6168360,8534750,5459620,5682380,7748270,7219060,7273980,7148870,6711850,7405290,3475420,6448870,8432210
"Montipora_capitata_HIv3___RNAseq.g30260.t1",NA,NA,NA,NA,1311020,706207,NA,NA,344814,NA,NA,NA,NA,753987,NA,1136140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482210,1273410,NA,893503,NA,NA,1025460,NA,1732190,NA
"Montipora_capitata_HIv3___RNAseq.g30263.t1",532962,NA,NA,408171,329454,432308,323782,398117,418694,510603,NA,623551,709667,591687,NA,312910,NA,541704,NA,885318,449741,623542,473991,189114,NA,NA,334011,674224,485814,363502,NA,428184,465180,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g3027.t1a",NA,NA,NA,228963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g3028.t1",1180150,NA,349017,924433,495272,996334,608894,NA,900440,NA,NA,NA,704945,933222,1210930,NA,NA,1091230,898289,519262,1222850,1065610,1813440,807002,1297910,NA,466255,494891,NA,901256,NA,1062110,1218680,NA,NA,1390860
"Montipora_capitata_HIv3___RNAseq.g3029.t1",NA,NA,NA,132847,316822,NA,NA,592100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262749,NA,NA,NA,NA,NA,160042,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30292.t1",4497410,5188600,2256120,3905990,2896160,2702720,3516670,3329000,4264430,3198280,3637480,5066640,4442600,4534830,5971940,3131310,4889260,4468990,2667830,4831700,4900370,3852410,5741310,3344570,5262830,3314490,5845870,4364760,4730980,4217380,3453290,3675480,3552110,4537550,4092780,5814440
"Montipora_capitata_HIv3___RNAseq.g30294.t1",2374570,1070680,1042200,1663520,931262,1835350,1502690,NA,1942200,NA,NA,1317940,NA,1468030,1442980,782084,NA,1252610,NA,1745370,NA,1320140,2110390,NA,2037800,1465140,NA,831123,NA,NA,NA,1290990,1635960,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30360.t1",NA,1215550,1312910,470022,NA,1442830,NA,NA,NA,481001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,922453,NA,1796900,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30390.t1",NA,NA,NA,NA,NA,NA,124874,NA,NA,NA,266210,109488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107962,102880,NA,NA,164465,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30392.t1",118388,NA,NA,NA,178774,NA,NA,135697,NA,176649,NA,203883,NA,NA,NA,171968,NA,NA,NA,NA,NA,NA,NA,130255,NA,NA,206440,158381,NA,NA,NA,190293,NA,176759,188495,NA
"Montipora_capitata_HIv3___RNAseq.g30393.t1",3338490,NA,936051,285045,482805,1769580,428626,5546780,NA,1284710,541728,NA,602373,2271320,3000050,295917,2175070,525014,6192430,1011390,1296630,995737,1190670,1223220,NA,23340000,1831550,1030320,NA,1678300,NA,648719,2563070,299587,2155520,NA
"Montipora_capitata_HIv3___RNAseq.g30394.t1",5751020,3566220,2133590,3859370,2371960,3545630,3777900,3538090,4542800,3050230,1604560,4494660,3634690,4279740,3932810,1976390,2736150,3588990,2527840,4919790,5176940,3589050,5031770,3198960,4226990,2707530,2919540,3982450,3344390,4709090,2712760,3656830,4906280,1994570,4440660,4974900
"Montipora_capitata_HIv3___RNAseq.g30403.t2",978680,NA,740459,976933,831531,NA,999940,1346300,1295010,NA,NA,965550,1422000,1278310,1142600,NA,767946,1243210,NA,1289180,1038210,911195,1162100,999748,1119780,621369,591783,1169560,686227,1979750,1899970,936331,1372890,NA,910758,1083070
"Montipora_capitata_HIv3___RNAseq.g30411.t1",6287140,1698620,3320930,4429060,2216990,3975350,1000600,4725200,3711030,1060310,NA,1078050,1127270,1898550,1618490,1102450,961138,614677,626276,1353980,2229420,3557700,2171180,1402870,1072610,1497470,1667710,1869970,1889680,NA,1300490,2152520,2431980,1117190,798462,1546620
"Montipora_capitata_HIv3___RNAseq.g30412.t1",14781600,10441000,6197180,10965800,5224410,9472780,10403400,9165790,9332800,10331000,6645250,11112600,11029100,10072100,10806200,8098730,7522210,9708410,9485020,14984600,9819060,9584130,14309800,10823000,12509900,10136900,7880610,6588580,15836400,10596500,10484600,9453410,8633140,6546780,11817800,11488900
"Montipora_capitata_HIv3___RNAseq.g30416.t1",2214700,2023300,1360910,1639330,2155160,2297930,2086070,1745300,918444,1359920,1640380,2076830,NA,1003060,2134850,2630660,2087770,1046890,1401300,NA,831643,1623350,1126260,1374970,NA,NA,2669830,2611050,NA,NA,NA,1966200,851486,2446540,1874380,NA
"Montipora_capitata_HIv3___RNAseq.g30419.t1",21248700,6608020,8496620,16082600,9935920,18955000,14533900,18235300,24834100,9541340,7166090,16111800,20906800,21761700,15503200,9007920,8428150,18637800,8631460,24913900,24125000,13869500,25028500,13070800,22446600,10106900,14299400,19664000,22561000,23603300,24359100,14079900,22798700,6183600,16518000,21410500
"Montipora_capitata_HIv3___RNAseq.g30428.t1",472841,NA,NA,617788,NA,557676,NA,673499,869754,NA,NA,NA,843143,NA,NA,NA,NA,570267,NA,NA,NA,NA,862877,NA,443914,NA,342941,403158,NA,280855,NA,NA,532134,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g30429.t2",3942320,2671380,3097900,2278760,4415010,5035240,4728180,4228310,3487490,4283590,5180490,5628500,2627060,4694740,4123650,1971940,3427990,4359980,2061320,2254270,3434430,4121200,4368830,1877560,4339630,3931670,4379110,6552410,2340440,5440090,2617430,4784870,3713170,3452100,5493760,4585610
"Montipora_capitata_HIv3___RNAseq.g30434.t1",3071580,6623730,4797350,3504640,4478710,2778870,NA,2432570,NA,2296130,NA,NA,NA,2382230,NA,4079680,3353280,NA,NA,NA,1459770,4674720,NA,NA,NA,NA,6908710,4366040,NA,NA,NA,NA,NA,4463270,NA,NA
